player_id|first_name|last_name|nickname|position|super_bowl_wins|pro_bowls|mvps|year_retired|picture
1|Dak|Prescott||QB|0|3|0|NULL|prescott.jpg
2|Tom|Brady||QB|7|15|3|2023|brady.jpg
3|Joe|Montana||QB|4|8|2|1995|joemontana.jpg
4|Kordell|Stewart|Slash|QB|0|1|0|2007|kordellstewart.jpg
5|Troy|Aikman||QB|3|6|0|2000|troyaikman.jpg
6|Emmitt|Smith||RB|3|8|1|2005|emmittsmith.jpg
7|Michael|Irvin|Playmaker|WR|3|5|0|2000|michaelirvin.jpg
8|Deion|Sanders|Primetime|DB|2|8|0|2005|deionsanders.jpg
9|Larry|Allen||G|1|11|0|2009|larryallen.jpg
10|Dan|Marino||QB|0|9|1|2000|danmarino.jpg
11|Rex|Grossman||QB|0|0|0|2012|rexgrossman.jpg
12|Amari|Cooper||WR|0|5|0|NULL|amaricooper.jpg
13|DK|Metcalf||WR|0|2|0|NULL|dkmetcalf.jpg
14|Josh|Allen||QB|0|2|0|NULL|joshallen.jpg
15|Russell|Wilson||QB|1|9|0|NULL|russellwilson.jpg
16|Marcus|Allen||RB|1|6|1|2003|marcusallen.jpg
17|Morten|Andersen||K|0|7|0|2007|mortenandersen.jpg
18|O.J.|Simpson|The Juice|RB|0|5|0|1979|ojsimpson.jpg
19|Champ|Bailey||DB|0|12|0|2014|champbailey.jpg
20|Jerome|Bettis|The Bus|RB|1|6|0|2006|jeromebettis.jpg
21|George|Blanda||QB/K|0|4|0|1969|georgeblanda.jpg
22|Terry|Bradshaw||QB|4|3|1|1983|terrybradshaw.jpg
23|Tim|Brown||WR|0|9|0|2005|timbrown.jpg
24|Jim|Brown||RB|0|9|1|1965|jimbrown.jpg
25|Dick|Butkus|The Enforcer|LB|0|8|0|1966|dickbutkus.jpg
26|Cris|Carter||WR|0|8|0|2002|criscarter.jpg
27|Mike|Singletary|Samurai Mike|LB|1|10|0|1992|mikesingletary.jpg
28|Lawrence|Taylor|L.T.|LB|2|10|1|1997|lawrencetaylor.jpg
29|Mike|Ditka|Iron Mike|TE|3|5|0|1988|mikeditka.jpg
30|Cliff|Harris|Captain Crash|S|2|6|0|1980|cliffharris.jpg
31|Jim|Marshall|Iron Man|DE|0|2|0|1979|jimmarshall.jpg
32|Randy|Gradishar||LB|0|7|0|1983|randygradishar.jpg
33|Willie|Anderson|Flipper|OT|0|4|0|2008|willieanderson.jpg
34|Torry|Holt||WR|1|7|0|2009|torryholt.jpg
35|Isaac|Bruce||WR|1|4|0|2009|isaacbruce.jpg
36|Jerry|Rice||WR|3|13|1|2005|jerryrice.jpg
37|Roger|Craig||RB|3|4|0|1993|rogercraig.jpg
38|Reggie|Wayne||WR|1|6|0|2015|reggiewayne.jpg
39|Ken|Anderson||QB|0|4|1|1986|kenanderson.jpg
40|Hines|Ward||WR|2|4|0|2011|hinesward.jpg
41|Patrick|Mahomes|Showtime|QB|3|6|2|NULL|patrickmahomes.jpg
42|Joe|Theismann||QB|1|2|1|1985|joetheismann.jpg
43|Dez|Bryant||WR|0|3|0|2020|dezbryant.jpg
44|Antonio|Gates||TE|0|8|0|2018|antoniogates.jpg
45|Boomer|Esiason||QB|0|4|1|1997|boomeresiason.jpg
46|Phil|Simms||QB|2|2|0|1993|philsimms.jpg
47|Vinny|Testaverde||QB|0|2|0|2007|vinnytestaverde.jpg
48|Antonio|Brown|AB|WR|1|7|0|2021|antoniobrown.jpg
49|Brian|Urlacher||LB|0|8|0|2012|brianurlacher.jpg
50|Devin|Hester|Anytime|WR/KR|0|4|0|2016|devinhester.jpg
51|Ryan|Fitzpatrick|Fitzmagic|QB|0|0|0|2021|ryanfitzpatrick.jpg
52|Ryan|Clark||DB|1|1|0|2014|ryanclark.jpg
53|Matt|Ryan||QB|0|4|1|2022|mattryan.jpg
54|Peyton|Manning|The Sheriff|QB|2|14|5|2015|peytonmanning.jpg
55|Eli|Manning||QB|2|4|0|2019|elimanning.jpg
56|Drew|Brees||QB|1|13|0|2020|drewbrees.jpg
57|Drew|Pearson||WR|1|3|0|1983|drewpearson.jpg
58|Zach|Thomas||LB|0|7|0|2008|zachthomas.jpg
59|Aaron|Donald||DT|1|10|0|2023|aarondonald.jpg
60|Brian|Dawkins|Weapon X|DB|0|9|0|2011|briandawkins.jpg
61|Danny|White||QB|1|1|0|1988|dannywhite.jpg
62|Randy|White|Manster|DT|1|9|0|1988|randywhite.jpg
63|Brett|Favre||QB|1|11|3|2010|brettfavre.jpg
64|Randall|Cunningham|The Ultimate Weapon|QB|0|4|0|2001|randallcunningham.jpg
65|Michael|Vick||QB|0|4|0|2015|michaelvick.jpg
66|Junior|Seau||LB|0|12|0|2009|juniorseau.jpg
67|Warren|Moon||QB|0|9|0|2000|warrenmoon.jpg
68|Tyreek|Hill|Cheetah|WR|1|8|0|NULL|tyreekhill.jpg
69|Philip|Rivers||QB|0|8|0|2020|philiprivers.jpg
70|Jack|Youngblood||DE|0|7|0|1984|jackyoungblood.jpg
71|Aaron|Rodgers|A-Rod|QB|1|10|4|NULL|aaronrodgers.jpg
72|Sid|Luckman||QB/HB|4|3|0|1950|sidluckman.jpg
73|Clyde|Turner|Bulldog|C|4|4|0|1952|clydeturner.jpg
74|Joe|Perry|The Jet|FB|0|3|1|1963|joeperry.jpg
75|Dick|Lane|Night Train Lane|DB|0|7|0|1965|dicklane.jpg
76|Bill|George||LB/G|1|8|0|1966|billgeorge.jpg
77|Bart|Starr||QB|2|4|1|1971|bartstarr.jpg
78|Joe|Namath|Broadway Joe|QB|1|5|0|1977|joenamath.jpg
79|Bob|Lilly|Tiger|DT/DE|1|11|0|1974|boblilly.jpg
80|Roger|Staubach|Roger the Dodger|QB|2|6|0|1979|rogerstaubach.jpg
81|Andrew|Whitworth||T|1|4|0|2021|andrewwhitworth.jpg
82|Zack|Martin||G|0|9|0|2024|zackmartin.jpg
83|Andrew|Luck||QB|0|4|0|2018|andrewluck.jpg
84|Adrian|Peterson|All Day|RB|0|7|1|2021|adrianpeterson.jpg
85|Barry|Sanders||RB|0|10|1|1998|barrysanders.jpg
86|Frank|Gore|The Inconvenient Truth|RB|0|5|0|2020|frankgore.jpg
87|Walter|Payton|Sweetness|RB|1|9|1|1987|walterpayton.jpg
88|Reggie|White|The Minister of Defense|DE/DT|1|13|0|2020|reggiewhite.jpg
89|Ray|Lewis|Sugar|LB|12|2|0|2012|raylewis.jpg
90|Ben|Roethlisberger|Big Ben|QB|2|6|0|2021|benroethlisberger.jpg
91|Bruce|Smith||DE|0|11|0|2003|brucesmith.jpg
92|Cam|Newton|Superman|QB|0|3|1|2021|camnewton.jpg
93|Carson|Palmer||QB|0|3|0|2017|carsonpalmer.jpg
94|Charles|Woodson||DB|1|9|0|2015|charleswoodson.jpg
95|Dan|Fouts||QB|0|6|2|1987|danfouts.jpg
96|John|Elway||QB|2|9|1|1998|johnelway.jpg
97|Ed|Reed||DB|1|9|0|2013|edreed.jpg
98|Edgerrin|James|Edge|RB|0|4|0|2009|edgerrinjames.jpg
99|Larry|Fitzgerald|Larry Legend|WR|0|11|0|2020|larryfitzgerald.jpg
100|LaDainian|Tomlinson|L.T.|RB|0|5|1|2011|ladainiantomlinson.jpg
101|Marc|Bulger||QB|0|2|0|2009|marcbulger.jpg
102|Jake|Delhomme||QB|0|1|0|2011|jakedelhomme.jpg
103|Doug|Flutie||QB|0|1|0|2005|dougflutie.jpg
104|Rich|Gannon||QB|0|4|1|2004|richgannon.jpg
105|Jeff|Garcia||QB|0|4|0|2009|jeffgarcia.jpg
106|Donovan|McNabb|Five|QB|0|6|0|2011|donovanmcnabb.jpg
107|Steve|McNair|Air|QB|0|3|1|2007|stevemcnair.jpg
108|Shaun|Alexander|Mr. Touchdown|RB|0|3|1|2008|shaunalexander.jpg
109|Jamal|Anderson||RB|0|1|0|2001|jamalanderson.jpg
110|Tiki|Barber|Lightning|RB|0|3|0|2006|tikibarber.jpg
111|Jamaal|Charles||RB|0|4|0|2018|jamaalcharles.jpg
112|Corey|Dillon|Clock Killin' Corey Dillon|RB|1|4|0|2006|coreydillon.jpg
113|Warrick|Dunn||RB|0|3|0|2008|warrickdunn.jpg
114|Eddie|George||RB|0|4|0|2004|eddiegeorge.jpg
115|Priest|Holmes||RB|1|3|0|2007|priestholmes.jpg
116|Steven|Jackson||RB|0|3|0|2015|stevenjackson.jpg
117|Chris|Johnson|CJ2K|RB|0|3|0|2017|chrisjohnson.jpg
118|Thomas|Jones||RB|0|1|0|2011|thomasjones.jpg
119|John|Kuhn||FB|1|3|0|2017|johnkuhn.jpg
120|Marshawn|Lynch|Beast Mode|RB|1|5|0|2019|marshawnlynch.jpg
121|Clinton|Portis||RB|0|2|0|2010|clintonportis.jpg
122|Darren|Sproles|Lightning Bug|RB|1|3|0|2019|darrensproles.jpg
123|Fred|Taylor|Fragile Fred|RB|0|1|0|2010|fredtaylor.jpg
124|Ricky|Williams||RB|0|1|0|2011|rickywilliams.jpg
125|Anquan|Boldin||WR|1|3|0|2016|anquanboldin.jpg
126|Antonio|Freeman|Free|WR|1|1|0|2003|antoniofreeman.jpg
127|Adam|Vinatieri|Automatic Adam|K|4|3|0|2019|adamvinatieri.jpg
128|Joe|Horn||WR|0|4|0|2007|joehorn.jpg
129|Chad|Johnson|Ochocinco|WR|0|6|0|2011|chadjohnson.jpg
130|Brandon|Marshall||WR|0|6|0|2018|brandonmarshall.jpg
131|Steve|Smith Sr.||WR|0|5|0|2016|stevesmithjr.jpg
132|Wes|Welker||WR|0|5|0|2015|weswelker.jpg
133|Olin|Kreutz||C|0|6|0|2011|olinkreutz.jpg
134|Ruben|Brown||G|0|9|0|2007|rubenbrown.jpg
135|Haloti|Ngata||DT|1|5|0|2018|halotingata.jpg
136|Simeon|Rice||DE|1|3|0|2007|simeonrice.jpg
137|Brendon|Ayanbadejo||OLB|1|3|0|2012|brendonayanbadejo.jpg
138|Lance|Briggs||LB|0|7|0|2014|lancebriggs.jpg
139|Mike|Vrabel||LB|1|3|0|2010|mikevrabel.jpg
140|Rodney|Harrison||DB|2|2|0|2008|rodneyharrison.jpg
141|DeAngelo|Hall||DB|0|3|0|2017|deangelohall.jpg
142|Josh|Cribbs||WR|0|3|0|2014|joshcribbs.jpg
143|Eric|Allen||DB|0|6|0|2001|ericallen.jpg
144|Jared|Allen||DE|0|5|0|2015|jaredallen.jpg
145|Jahri|Evans||G|1|6|0|2017|jahrievans.jpg
146|Luke|Kuechly|Captain America|LB|0|7|0|2019|lukekuechly.jpg
147|Terrell|Suggs|T-Sizzle|LB/DE|2|7|0|2019|terrellsuggs.jpg
148|Darren|Woodson||S|3|5|0|2003|darrenwoodson.jpg
149|Marshal|Yanda||G|1|8|0|2019|marshalyanda.jpg
150|Jason|Witten||TE|0|11|0|2020|jasonwitten.jpg
151|Julian|Edelman|Minitron|WR|3|0|0|2020|julianedelman.jpg
152|Maurkice|Pouncey||C|0|9|0|2020|maurkicepouncey.jpg
153|LeSean|McCoy|Shady|RB|2|6|0|2020|leseanmccoy.jpg
154|Thomas|Davis||OLB|3|0|0|2020|thomasdavis.jpg
155|Greg|Olsen||TE|3|0|0|2020|gregolsen.jpg
156|Alex|Smith||QB|3|0|0|2020|alexsmith.jpg
157|Stephen|Gostkowski||K|3|4|0|2020|stephengostkowski.jpg
158|Geno|Atkins||DT|0|8|0|2020|genoatkins.jpg
159|David|DeCastro||G|0|6|0|2020|daviddecastro.jpg
160|Mike|Pouncey||C|0|4|0|2019|mikepouncey.jpg
161|Sean|Lee||LB|0|2|0|2020|seanlee.jpg
162|Todd|Gurley||RB|0|3|0|2020|toddgurley.jpg
163|Jurrell|Casey||DL|0|5|0|2020|jurrellcasey.jpg
164|Sterling|Sharpe||WR|0|5|0|1994|sterlingsharpe.jpg
165|Shannon|Sharpe||TE|3|8|0|2003|shannonsharpe.jpg